tp_group,tp_author,tp_tweet_len,tp_clean_tweet_len,tp_sentiment,tp_emojis_num,tp_mentions_num,tp_hashtags_num,tp_has_url,tp_has_image,tp_has_gif,tp_has_video,tp_has_place,tp_replies_count,tp_retweets_count,tp_likes_count,tp_is_retweet,tp_is_reply,tp_is_quote,tp_monthly,tn_degree_in,tn_degree_out,tn_degree_total,tn_pagerank,tn_betweenness,tn_closeness,tn_eigenvector,tn_authority,tn_hub,tn_lcc
politicians,sensanders,139.6081897516223,57.894663235623185,0.0008463761700431505,0.0012307003803982994,0.2998993063325129,0.9669389125083911,0.4645334526739763,0.09991049451778923,0.0011747594540165586,0.0457037368538823,5.594092638174088e-05,140.32809353322892,1342.813325128664,3472.3562877601253,0.0,0.030543745804430526,0.025509062430073844,154.10344827586206,5.0,6.0,11.0,0.0009016747361157526,0.0008985416216374248,0.26703499079189685,0.03300989880474795,0.01616631437777843,0.04093493609010407,0.4727272727272727
politicians,senschumer,148.8845900404782,73.59493551727384,0.04493491295335138,0.004706768332862657,0.5252753459474725,0.6595123788007154,0.30170385013649625,0.11540995952179235,0.0012237597665442908,0.008566318365810035,0.0011296243998870374,172.5825096488751,521.836298597383,1363.7349148074934,0.0,0.0855690482914431,0.07173114939282689,110.65625,3.0,20.0,23.0,0.00037969149556753556,0.001108839644890574,0.32366071428571425,0.0008552394180268006,0.0070649401120831574,0.09281030747163373,0.28063241106719367
politicians,sentoomey,133.318673565381,65.69096895578551,0.059867243320484285,0.0,0.5359830667920978,0.4332079021636877,0.5004703668861712,0.17262464722483534,0.0007055503292568204,0.019520225776105363,0.00047036688617121356,40.19990592662277,12.545860771401696,27.141110065851365,0.0,0.05126999059266228,0.022812793979303855,44.29166666666666,3.0,6.0,9.0,0.00040795687752259035,0.0002118757899783015,0.26885043263288005,0.0012066323292863521,0.007359615212078023,0.03784334965101899,0.4166666666666667
politicians,sethmoulton,150.31600683565938,62.93748219880376,0.07986321211615317,0.019082882369695242,0.6179151238963259,0.760894332099117,0.4978638564511535,0.3053261179151239,0.001139276559384791,0.009256622045001424,0.005411563657077754,12.41270293363714,85.74821988037596,252.36613500427228,0.0,0.07775562517801196,0.17986328681287386,98.90140845070421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
politicians,speakerboehner,119.53085983510012,53.1982332155477,0.013266283580927204,0.003180212014134276,0.5369257950530035,1.039693757361602,0.7536513545347467,0.05618374558303887,0.0013545347467608952,0.011955241460541813,0.0,41.86018845700824,35.90924617196703,19.887279151943464,0.0,0.0061248527679623075,0.008657243816254417,175.05154639175254,45.0,27.0,72.0,0.005384699492763211,0.04590571819426385,0.3493975903614458,0.12522380954161264,0.1050683871777294,0.07620618104177458,0.15219092331768388
politicians,speakerryan,139.15054438860972,61.480737018425465,0.04085240536738383,0.05286850921273032,0.29396984924623115,0.5327680067001676,0.6146356783919598,0.1587102177554439,0.004711055276381909,0.1745184254606365,0.000314070351758794,375.55255443886085,172.33731155778895,546.2485343383586,0.0,0.0361180904522613,0.07317839195979901,90.1132075471698,12.0,21.0,33.0,0.0014280277900068474,0.008592853969882044,0.31938325991189426,0.05679675805909945,0.043663512941985304,0.09011726449680117,0.2878787878787879
politicians,stevescalise,142.945,61.56075757575758,0.08089912334602095,0.04954545454545455,0.6324242424242424,0.6640909090909091,0.4321212121212121,0.3021212121212121,0.004696969696969697,0.06196969696969696,0.0006060606060606063,40.564848484848476,134.1259090909091,400.645,0.0,0.02575757575757576,0.06257575757575758,94.28571428571428,12.0,18.0,30.0,0.0026683487095943963,0.016142226434213043,0.2937204591492235,0.06949579506597789,0.028618644910585155,0.07247683821438208,0.22298850574712645
politicians,susanwbrooks,171.25182912438046,75.6674533868303,0.0818165195188723,0.03304224687278735,0.694359216426717,0.7125324522067501,0.4054755723389191,0.3967429785225395,0.001180080245456691,0.026433797498229883,0.011564786405475572,3.966249704979939,3.0821335850837857,7.518763275902761,0.0,0.1031390134529148,0.07694123200377627,58.84722222222222,3.0,12.0,15.0,0.0003702008346747148,0.0034941912982968354,0.28580814717477004,0.004570616052879404,0.009559781873399674,0.07098732658614118,0.2761904761904762
politicians,teapainusa,100.27743808049536,46.24632352941178,-0.006603317349533662,0.002941176470588236,0.9032894736842104,0.10888157894736844,0.11797600619195045,0.0881578947368421,7.739938080495357e-05,1.934984520123839e-05,0.0,36.12950851393189,318.72039473684214,787.4334171826625,0.0,0.6556695046439629,0.08028250773993809,1099.5744680851064,0.0,8.0,8.0,0.00026785714285714287,0.0,0.2948287441235729,0.0,0.0,0.016545056995137163,0.17857142857142858
politicians,teapartycat,128.61565990673463,74.91541047608719,-0.01928764813790801,0.0023316343129812385,0.06333369482702526,0.2370133391172324,0.09857932979069517,0.0279253877019846,0.0,0.0,0.0,7.585131764450709,79.69780934822687,92.1375122004121,0.0,0.01154972345732567,0.0049343888949137825,157.6239316239316,1.0,1.0,2.0,0.0002963169642857143,0.0,0.1992687385740402,0.0,0.0007248990330802222,0.008520151988008505,1.0
politicians,thehermancain,127.62897852130148,55.13440136102644,0.0006510223570390355,0.000496207556532218,0.2874459488197349,0.2917700432409442,0.7891117884738074,0.3072233642872333,0.0018430566385482386,0.000992415113064436,0.0,23.10774792656128,79.92003969660452,138.70234635287446,0.0,0.03048132132983625,0.005670943503225349,120.57264957264955,2.0,6.0,8.0,0.0006145494663568187,0.002107697062472221,0.26492082825822166,0.0186500269579887,0.0036115073862411197,0.021592151513244107,0.25
politicians,timkaine,147.37966804979254,72.76129552789305,0.07314771508633876,0.004840940525587829,0.4872060857538036,0.3986860304287689,0.4143614568925773,0.14926233287229138,0.0005763024435223605,0.010258183494698021,0.00034578146611341634,46.697556477639466,295.1207929921623,891.3054402950669,0.0,0.055901337021668975,0.05520977408944214,85.90099009900992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
